#"Step","opes_expl_bias (kJ/mol)"
200,-126.0
400,-126.0
600,-125.32632123221742
800,-125.86917495276796
1000,-14.952196879916285
1200,-15.904987766554552
1400,17.928922539960475
1600,18.62457184183445
1800,34.94068922911117
2000,33.259007143423965
2200,-24.717983937119282
2400,-122.02526996635414
2600,-28.12882468503792
2800,-27.332556072562515
3000,-89.02402750571919
3200,-125.97762118140156
3400,-108.80861574131043
3600,-119.81080408961621
3800,-55.4912577473513
4000,-48.35735957382605
4200,-25.779184663778956
4400,-27.221516259270164
4600,-18.977881327341155
4800,-32.12868896294365
5000,-22.447601529216332
5200,-6.45344256218577
5400,13.740612867711949
5600,-16.71098598231523
5800,-28.576909798376825
6000,-27.988542560304563
6200,-6.036779140209532
6400,-11.536555935791949
6600,20.7965517041717
6800,22.068528447156528
7000,32.23513481025957
7200,31.508687108572463
7400,38.356569842259056
7600,37.52099373237782
7800,44.75674801121089
8000,44.856554864167194
8200,50.038003943693155
8400,37.88605452376437
8600,52.852607957854644
8800,51.659444094233606
9000,56.485515080185976
9200,54.722057532835315
9400,60.61259371298683
9600,55.441261150599075
9800,58.683806776433656
10000,63.893218676144414
10200,68.07870143035791
10400,67.93553627932995
10600,70.26699959449452
10800,68.17764708397047
11000,70.38713309031586
11200,73.93762763170187
11400,39.955002565663925
11600,9.539120018491612
11800,27.059229615057035
12000,21.904815728901006
12200,30.825009150473427
12400,22.999293552185062
12600,29.69815606164099
12800,29.74406285719362
13000,39.018518907235844
13200,38.103326215748496
13400,40.62571753823207
13600,68.5126149715069
13800,69.85059049010368
14000,73.29136406317903
14200,68.25047897276532
14400,63.495143510262544
14600,79.14515164215402
14800,71.45901223797519
15000,76.75819077903432
15200,74.08364525950107
15400,71.07868566043679
15600,74.37676542626726
15800,84.45319944707116
16000,78.8708323747544
16200,86.20285305869096
16400,83.0630966444987
16600,88.29133148673357
16800,87.08211944587173
17000,89.69977339345274
17200,84.99506033546012
17400,99.3800414806042
17600,94.14042826547792
17800,101.46248533239388
18000,101.43535605433732
18200,101.57045022820635
18400,102.53032426638303
18600,102.50671833147852
18800,104.82483030230517
19000,87.39545277809566
19200,7.030074226159946
19400,-10.127169156712759
19600,-12.251714055016663
19800,-7.427274527552763
20000,-6.406397756805286
20200,-0.7789677199806678
20400,-1.748623100157169
20600,5.067442383336014
20800,7.207466914152289
21000,15.27741799346573
21200,14.385762603887905
21400,25.974506384009704
21600,19.528190517462125
21800,29.244794632422693
22000,28.28760674166068
22200,24.48651601992941
22400,31.017836294218853
22600,30.24476980724577
22800,33.31221636786184
23000,33.68762109875079
23200,40.10868380411268
23400,33.429728115542275
23600,34.53474825813359
23800,50.277655544743965
24000,51.24071402171417
24200,43.74469695523746
24400,46.53472756018837
24600,49.506446823757024
24800,47.947422786092126
25000,47.43257571306195
25200,51.705900229570865
25400,53.0111448384726
25600,52.48050586149005
25800,52.04455547722843
26000,52.41749168499351
26200,58.01468166841582
26400,55.091504287304055
26600,59.14373046859101
26800,60.19402636749097
27000,62.07288066441656
27200,57.871032032889225
27400,56.10642088507248
27600,60.92651739003053
27800,64.68029633569554
28000,65.20272184683009
28200,72.27765761861856
28400,71.9871696616188
28600,73.76821613018896
28800,73.53685304673587
29000,69.53236785291139
29200,61.686087115309896
29400,70.0923392268187
29600,71.22196096390866
29800,66.91403175533755
30000,65.93699920490123
30200,74.68842065014553
30400,77.14361203134557
30600,81.06111646956901
30800,80.12528748148614
31000,63.3348982585642
31200,76.2359185784615
31400,83.77858439478054
31600,84.7566030007681
31800,86.67294894279689
32000,80.79319377075277
32200,84.29404163765498
32400,81.58385253593383
32600,78.51570162184527
32800,74.26813132593836
33000,84.56794111831522
33200,88.28473293422111
33400,91.11898216981811
33600,91.90169779802142
33800,92.79613817982965
34000,90.67887374655892
34200,86.28314263366467
34400,92.12731126397468
34600,94.887587767592
34800,94.3358126566553
35000,93.57458768542291
35200,77.69785901081892
35400,87.85963591788342
35600,96.14123149777605
35800,88.95126096721663
36000,99.06907793928615
36200,98.36346680662
36400,99.07829290872621
36600,88.60677220207883
36800,101.74348409054701
37000,102.15242569648652
37200,98.99796790011838
37400,91.81303350396932
37600,94.51543766756504
37800,93.02279462072255
38000,98.59066029897038
38200,98.49810135820856
38400,79.36488827368797
38600,80.88979195047848
38800,80.71229354843192
39000,89.10984908716713
39200,102.54414626050223
39400,100.83094646265158
39600,91.65476647131405
39800,91.03592396623363
40000,104.05228885592817
40200,106.99211714634635
40400,104.65129170518941
40600,99.62208465903721
40800,110.42393080483546
41000,103.40813535042795
41200,75.8936049772592
41400,71.78344118622951
41600,92.16399131692143
41800,79.54387798469384
42000,65.53131635909462
42200,97.8335633434941
42400,84.57586559503955
42600,110.69487531266442
42800,60.77755722807639
43000,19.36493811611932
43200,-7.549854407427513
43400,-14.049995649092597
43600,-18.239400101173004
43800,-18.306381060165354
44000,-5.922044156821062
44200,10.907426121504336
44400,-7.08526702357135
44600,12.60948250568606
44800,0.7568881992752081
45000,-10.080597872003604
45200,12.464816707480042
45400,7.106405847121718
45600,-10.342885174437642
45800,15.316650132017227
46000,13.507176716566246
46200,18.677081350240048
46400,15.122740435660667
46600,20.639924369034137
46800,17.918559517708154
47000,22.57078981213995
47200,23.245635416483548
47400,11.021053219693762
47600,25.91554680794238
47800,28.308803968097774
48000,26.42198083859425
48200,25.608100781098774
48400,29.11388724335008
48600,31.20420675518631
48800,31.911207402770696
49000,33.50455723881785
49200,31.99025616765331
49400,24.04435833541864
49600,33.37477194986398
49800,35.41995409456926
50000,36.76082480875541
50200,17.391469315072097
50400,-13.883875655561447
50600,4.553989041123703
50800,-13.264141566162435
51000,-8.005202270158495
51200,-1.0759140068423605
51400,5.003562425409656
51600,25.588648509590595
51800,34.09724509422622
52000,35.34155018411117
52200,36.96252783436697
52400,-3.808220555011576
52600,-1.6209030967541367
52800,-6.646752861593243
53000,-6.5807167219627996
53200,-6.080106124440885
53400,-2.1238690829424707
53600,12.303670765922357
53800,4.927137703090552
54000,32.551439577964416
54200,42.6256114658463
54400,18.318209575700962
54600,42.101626209984076
54800,41.054366669446225
55000,42.259375463489775
55200,44.7041432247981
55400,43.14367612195941
55600,43.27059860056897
55800,47.67066875202664
56000,47.8176824014221
56200,49.72126310847897
56400,45.81701846652339
56600,50.908506250104345
56800,49.86535511018122
57000,52.41955130477945
57200,51.4928982080092
57400,52.984118062676366
57600,39.19599394017426
57800,52.56357340803744
58000,50.73888435852787
58200,56.01640489691267
58400,24.6661930027009
58600,-3.2167678548222995
58800,-2.968356833519185
59000,0.8400982577480143
59200,0.46883008858710395
59400,10.88205336025082
59600,18.61136059336391
59800,44.95790582308628
60000,50.730583351530576
60200,53.93976787377754
60400,37.493023144841565
60600,9.639667004146762
60800,4.361118922569639
61000,11.617883670655786
61200,16.36806548656617
61400,9.491493873390047
61600,31.259556028633895
61800,53.83594491751577
62000,44.049861211202995
62200,54.65681086677186
62400,40.82681149267715
62600,53.13117724927247
62800,17.258424544834167
63000,-8.988557055368663
63200,-8.863333947401367
63400,-6.869035658619075
63600,-4.434746480089483
63800,3.889912643808922
64000,-4.116240176100293
64200,0.9549530612530606
64400,14.62079938885583
64600,5.317091651713098
64800,2.37445286606924
65000,18.62571242910149
65200,3.280316541126939
65400,6.114117524064787
65600,12.322829750949106
65800,13.502253105914363
66000,7.605768126518062
66200,22.370484287201936
66400,10.07177897380889
66600,25.81249582791191
66800,44.996816620288904
67000,47.21302298682262
67200,51.22398364132437
67400,52.45836536512915
67600,52.29938697061752
67800,53.58822532717587
68000,48.00248878644974
68200,51.44783806640414
68400,46.76904308674496
68600,43.54620543621186
68800,54.82970299051077
69000,56.678640064300126
69200,56.66145415164507
69400,52.648349598165396
69600,57.44136922424794
69800,58.68778505711966
70000,58.367929423003396
70200,53.66171296284051
70400,53.10487920073159
70600,60.90705132268191
70800,49.564667169847006
71000,60.392135899587466
71200,51.91169377021038
71400,58.31827067474152
71600,59.52237770323042
71800,58.63893375059206
72000,62.06884271084518
72200,60.27420022599545
72400,49.27670973200645
72600,20.183886109874038
72800,8.079506334844757
73000,8.906952305149378
73200,17.279902464340218
73400,24.529777702333053
73600,21.621456523125808
73800,12.38432602963995
74000,13.864794599000264
74200,28.251097991007043
74400,15.15033772539245
74600,18.127133168404015
74800,34.401862495357946
75000,17.983356771534755
75200,27.801059104880576
75400,55.34837742111589
75600,58.79312224512727
75800,62.15092455015922
76000,62.1348507556002
76200,54.49021222058272
76400,61.168456271013646
76600,62.13703609450004
76800,61.4035517186911
77000,62.34061616321872
77200,65.09701314138233
77400,64.92240212612386
77600,63.427087037383224
77800,58.98982807703964
78000,66.92265690946499
78200,65.04843620913564
78400,62.738478031457
78600,67.1950029074681
78800,68.56644649751347
79000,69.56203288553097
79200,51.59908474131387
79400,68.79136248364603
79600,69.67725682389614
79800,61.94709788386049
80000,61.580536896425876
80200,70.8021851080896
80400,61.131214638284504
80600,70.73176280233808
80800,69.70885872676826
81000,62.25490820705811
81200,65.02421136273257
81400,49.076653003180276
81600,16.260029562932935
81800,21.653958008911506
82000,32.38191293425994
82200,12.315676018667753
82400,15.45143204864491
82600,14.328649509031163
82800,24.89311712595173
83000,26.988629167079246
83200,15.46799093699622
83400,16.376383729837304
83600,15.737013546205809
83800,19.483911369695537
84000,17.970560928664984
84200,19.809589050756212
84400,20.40042268389908
84600,28.29803616226406
84800,34.415874836274625
85000,42.84244580429005
85200,39.760200696254145
85400,2.60247924053079
85600,-0.4123367213775475
85800,32.97591953557583
86000,13.595946981676756
86200,11.545706015866372
86400,4.213938319492022
86600,-5.252734729309693
86800,-5.333595645002409
87000,5.21614787328903
87200,-2.724924677055407
87400,-0.1641210577480936
87600,0.5357265177050453
87800,7.141861497992199
88000,10.546035706665442
88200,10.066653706829664
88400,4.594481852315875
88600,14.022753130849313
88800,6.768538049019886
89000,9.235569432615891
89200,10.834210064064338
89400,10.652313830978134
89600,11.32115039968807
89800,26.924866520985685
90000,24.04403179976873
90200,21.69155794231289
90400,16.372141489806527
90600,29.222255729992362
90800,44.432972438412136
91000,69.14315745458148
91200,70.24123190216459
91400,71.39090225159997
91600,59.82011354217052
91800,66.98103225479173
92000,70.56018460835183
92200,67.23463234419806
92400,66.96328207380371
92600,71.17669196009678
92800,71.83333855658292
93000,74.02165699608649
93200,58.32227117600893
93400,39.33862425622294
93600,18.115242785316585
93800,17.936469765504807
94000,17.659713732378307
94200,26.478084107147428
94400,22.20457003494806
94600,44.275431054499585
94800,45.680225820040285
95000,72.812673630963
95200,59.87141732461046
95400,72.61743113193181
95600,73.40219464182822
95800,71.09641308960953
96000,70.21319448658411
96200,64.37997722510852
96400,75.31091768996626
96600,75.66450941457217
96800,70.08617115061342
97000,73.3079458812505
