time_ns,DeltaG_kcal_per_mol,dDeltaG_kcal_per_mol
0.048,,
0.07200000000000001,,
0.096,-6.700473586133051,0.25324967216795574
0.12,-6.761509742435395,0.21797674521995772
0.14400000000000002,-6.822925726956627,0.1953848164155751
0.168,-6.969977427625252,0.17801047113666751
0.192,-6.99641941182191,0.16506700421818474
0.216,-7.02289084842242,0.15477935877248775
0.24,-7.063554238734391,0.14618441130885165
0.264,-7.118862077973002,0.13866794540654365
0.28800000000000003,-7.0571027314604,0.1325939521857542
0.312,-7.188394380836326,0.12678341206290528
0.336,-7.154132773089308,0.12184242878695288
0.36,-7.08096085162751,0.11744239338994696
0.384,-7.059726432280319,0.1136047036449879
0.40800000000000003,-7.074888863710618,0.11004367282491129
0.432,-7.05933063776583,0.10674230068168611
0.456,-7.071322635297138,0.10362767569131939
0.48,-7.08705790695716,0.10098345812799764
0.504,-7.141609739712261,0.0982815919379335
0.528,-7.121641837239352,0.09596446373182752
0.552,-7.133281301022799,0.09380607791778377
0.5760000000000001,-7.1386525745277325,0.0916835249248539
0.6,-7.17459752323248,0.08968879020067246
0.624,-7.180107505854956,0.08793055130270505
0.648,-7.160099867363081,0.08629986722309729
0.672,-7.16614350484522,0.08466791097533488
0.6960000000000001,-7.159293203138203,0.08311685263705729
0.72,-7.139384945379864,0.08168630527457259
0.744,-7.151778919717911,0.08028416057069208
0.768,-7.151007994276099,0.07893559634276183
0.792,-7.139347600989999,0.07766483137722037
0.8160000000000001,-7.143414644884466,0.07648760595323034
0.84,-7.173579671593316,0.07534077518256678
0.864,-7.168185258690459,0.07426440547715234
0.888,-7.174506434368054,0.07318294560795792
0.912,-7.140813971375521,0.07224367193232412
0.936,-7.128212085231746,0.07126604847050969
0.96,-7.143873736582345,0.0702891476261632
0.984,-7.137972946940782,0.06937130837831533
1.008,-7.116218383569732,0.06856792948647805
1.032,-7.095971545878753,0.0677587734071589
1.056,-7.112614206495866,0.06692844858934333
1.08,-7.114390314962102,0.0661645314845605
1.104,-7.1010717569150685,0.06545417459377885
1.1280000000000001,-7.104996901930466,0.06474825086125324
1.1520000000000001,-7.107985258041229,0.06404510929267511
1.176,-7.101952970803912,0.0633728982109882
1.2,-7.098892951779246,0.06272986487292691
1.224,-7.091018024707045,0.06210617580891336
1.248,-7.086485193647137,0.061517580183081885
1.272,-7.09546380852803,0.06090930645115945
1.296,-7.094393630927017,0.0603401128206407
1.32,-7.088035106173343,0.05980716737990804
1.344,-7.097939435000007,0.059264780440265806
1.368,-7.076577896709338,0.058767939943703024
1.3920000000000001,-7.074062772265931,0.05824985591314123
1.416,-7.075167059766705,0.057745536407396804
1.44,-7.062739395144482,0.05724946034093262
1.464,-7.066055674021618,0.05675670679323708
1.488,-7.065720566729726,0.05628527029488794
1.512,-7.06772625011397,0.05581850221805493
1.536,-7.061071080871413,0.05539393743069889
1.56,-7.05980030070268,0.05495972165837379
1.584,-7.07716779222503,0.054520451133408886
1.608,-7.062888117123571,0.054108458270327286
1.6320000000000001,-7.070035488947279,0.05368889988492083
1.6560000000000001,-7.068822148613089,0.05330243413983962
1.68,-7.061231046677094,0.05291614910222141
1.704,-7.062005548549437,0.052518301254052324
1.728,-7.06686695514998,0.05213879163737878
1.752,-7.069518530665055,0.05175256211436847
1.776,-7.069813977248265,0.051417912716297864
1.8,-7.079834909755046,0.05105603791777118
1.824,-7.098063744515403,0.050684458596109046
1.848,-7.094219843558204,0.05034673267396853
1.872,-7.102068142338585,0.05002165730952405
1.8960000000000001,-7.104993359873712,0.04969722435906169
1.92,-7.092310047824149,0.04939191005758733
1.944,-7.085766550464312,0.04909312637624157
1.968,-7.084586244512963,0.04879636185960238
1.992,-7.092532466901126,0.048478578606923776
2.016,-7.099531004155312,0.04818218256552435
2.04,-7.095741738091852,0.047901636764051896
2.064,-7.095941920925991,0.04761552023535682
2.088,-7.088585631084722,0.04734721129279987
2.112,-7.1004934364006775,0.04705908154163244
2.136,-7.098698202293347,0.04678557397571582
2.16,-7.093976899077376,0.046525974597988615
2.184,-7.101794650910687,0.04627242373093041
2.208,-7.091588212701873,0.04602121952393909
2.232,-7.094628106839495,0.045766592019354
2.2560000000000002,-7.1001758820700465,0.04551847169475511
2.2800000000000002,-7.10540914820625,0.045271836391140304
2.3040000000000003,-7.102225160259976,0.04503712615371631
2.328,-7.098502601297848,0.044812081511147926
2.352,-7.090031883192092,0.04459508998881476
2.376,-7.09118400810005,0.04436321968008495
2.4,-7.087480042010037,0.044150362551347765
2.424,-7.086434601778975,0.04392554660901592
2.448,-7.07313496873205,0.043728453872099435
2.472,-7.069058559980839,0.043518573445583
2.496,-7.082946061425597,0.043289573201889024
2.52,-7.076116465575796,0.043086787772286604
2.544,-7.073934239716145,0.04288475603216242
2.568,-7.05748945339396,0.04268094969518656
2.592,-7.052077962203077,0.04249103183393879
2.616,-7.043950064355864,0.04230113134802004
2.64,-7.043799986566376,0.042099204045773365
2.664,-7.0442924381195295,0.041914560363458066
2.688,-7.040024222842902,0.04172344043825601
2.712,-7.03476228795364,0.04153856556178609
2.736,-7.034532232504271,0.04135132926111826
2.7600000000000002,-7.027565584474698,0.04117865903245047
2.7840000000000003,-7.024587697976346,0.04100198042620002
2.8080000000000003,-7.021008376769119,0.040823030906957096
2.832,-7.019630359293275,0.04065262808627825
2.856,-7.016625204818076,0.04048322712856003
2.88,-7.022656843643984,0.04031456546186983
2.904,-7.027161945805118,0.04013902656645267
2.928,-7.024120786119272,0.03997567491992984
2.952,-7.026443583861203,0.03981286015515261
2.976,-7.028915229886113,0.03964484394278364
3.0,-7.0326970018184305,0.0394739228031956
3.024,-7.036777431542297,0.039311892911184955
3.048,-7.035506224173918,0.03915942047518316
3.072,-7.042947370346362,0.03900071211839721
3.096,-7.047498863078,0.03884590355001404
3.12,-7.042311392932367,0.038701807214876156
3.144,-7.043463707437177,0.03855304175149957
3.168,-7.04059566803032,0.03841031830257826
3.192,-7.049477180904761,0.03825982583197956
3.216,-7.050139380174322,0.038115641194369124
3.24,-7.051962373123902,0.03796967929334208
3.2640000000000002,-7.047877514574515,0.03783033047570574
3.2880000000000003,-7.051144261421295,0.0376915773110055
3.3120000000000003,-7.045719891272411,0.037558365753226304
3.336,-7.044902644253336,0.03741529776093015
3.36,-7.041313157070069,0.03728162209763342
3.384,-7.042299739858665,0.037153853240722214
3.408,-7.037862828649921,0.03701797609312348
3.432,-7.0316507999580695,0.03690146788172432
3.456,-7.0267298777235725,0.036773339811335376
3.48,-7.026179482683669,0.03664463005811787
3.504,-7.022922056142388,0.03652307798201892
3.528,-7.019123562156027,0.03640312812686639
3.552,-7.014327989000345,0.03628688314315747
3.576,-7.026858176702699,0.03615419363044293
3.6,-7.026999410610509,0.03603555012275429
3.624,-7.025714522423349,0.035910654967321834
3.648,-7.028570836747077,0.03579053690923717
3.672,-7.029038947902266,0.035673410385377274
3.696,-7.031212391639523,0.03555244988668961
3.72,-7.030613159104002,0.035435493158612406
3.744,-7.034653033248944,0.03531772252003942
3.7680000000000002,-7.034401899809106,0.03520460978080026
3.7920000000000003,-7.036523284562742,0.035086780805191876
3.8160000000000003,-7.037195391812103,0.03497764159236498
3.84,-7.031973081257256,0.03487768554845059
3.864,-7.029834746085947,0.034772475020410545
3.888,-7.030277418212631,0.034659666461083156
3.912,-7.030621946565316,0.03455236080059882
3.936,-7.032855660421703,0.03444869971826136
3.96,-7.029781248443168,0.034346610316810994
3.984,-7.031780290005013,0.034238393682295525
4.008,-7.025445241675834,0.03414055472535015
4.032,-7.026797090894101,0.03404206899644653
4.056,-7.026905980495242,0.03394061437704501
4.08,-7.032034581655476,0.03383365893872014
4.104,-7.025427007062613,0.03374238489478725
4.128,-7.020112401824823,0.03364894660201874
4.152,-7.011194487218228,0.03355691176529031
4.176,-7.012195105212115,0.03346038787194017
4.2,-7.0116904281892785,0.033367405643716666
4.224,-7.003158689407742,0.03328072461732684
4.248,-7.004853699701438,0.033185189979977735
4.272,-7.008029022459607,0.033090186771182285
4.296,-7.013378144999211,0.033000582681376234
4.32,-7.021306510333713,0.03290194249300706
4.344,-7.0219159659556505,0.03281199765864286
4.368,-7.024914360266091,0.03271667463969101
4.392,-7.0244365910612565,0.03262524997405326
4.416,-7.02378084997393,0.03254018012091637
4.44,-7.020260977255507,0.03245742297777624
4.464,-7.023341840812537,0.032369032858672445
4.488,-7.018059324200186,0.03228289334573017
4.5120000000000005,-7.02186280707872,0.03219106951410917
4.5360000000000005,-7.023458415675901,0.032103410769996274
4.5600000000000005,-7.019171517503104,0.032018108401257
4.5840000000000005,-7.017020002198242,0.03193132017559206
4.6080000000000005,-7.009777480789734,0.03184775469761016
4.632,-7.006972689530127,0.031771252647587366
4.656,-7.005793828675692,0.03168981758994234
4.68,-7.011634643537679,0.03160593051068865
4.704,-7.006925519619323,0.0315287789094994
4.728,-7.008488134200684,0.03144787854234222
4.752,-7.009992904201243,0.031367498252093944
4.776,-7.011981778889291,0.03128606843206883
4.8,-7.011294099442556,0.031204038116750828
4.824,-7.009057436199359,0.031128868222591
4.848,-7.0043164731668455,0.03105448813928958
4.872,-7.005894323748193,0.03097546032620206
4.896,-7.003915318284661,0.03089830618701094
4.92,-7.005123901770883,0.03081883690558151
4.944,-7.00319104419358,0.03074470847383424
4.968,-7.001097173502688,0.03066818299927897
4.992,-7.00023378264537,0.03059425661240679
